絞,,○しぼる○しめる○しまる,◎コウ
項,,○コウ,
溝,,○コウ○みぞ,
鉱,⑤コウ,,
構,⑤コウ⑤かまえる⑤かまう,,
綱,,○コウ○つな,
酵,,○コウ,
稿,,○コウ,
興,⑤コウ⑤キョウ,,◎おこる◎おこす
衡,,○コウ,
鋼,⑥コウ,○はがね,
講,⑤コウ,,
購,,○コウ,
乞,,○こう,
号,③ゴウ,,
合,②ゴウ②ガッ②カッ②あう②あわす②あわせる,,
拷,,○ゴウ,
剛,,○ゴウ,
傲,,○ゴウ,
豪,,○ゴウ,
克,,○コク,
告,⑤コク⑤つげる,,
谷,②たに,○コク,
刻,⑥コク⑥きざむ,,
国,②コク②くに,,
黒,②コク②くろ②くろい,,
穀,⑥コク,,
酷,,○コク,
獄,,○ゴク,
骨,⑥コツ⑥ほね,,
駒,,○こま,
込,,○こむ○こめる,
頃,,○ころ,
今,②コン②いま,○キン,
困,⑥コン⑥こまる,,
昆,,○コン,
恨,,○コン○うらむ○うらめしい,
根,③コン③ね,,
婚,,○コン,
混,⑤コン⑤まじる⑤まざる⑤まぜる⑤こむ,,
痕,,○コン○あと,
紺,,○コン,
魂,,○コン○たましい,
墾,,○コン,
懇,,○コン,◎ねんごろ
左,①サ①ひだり,,
佐,④サ,,
沙,,○サ,
査,⑤サ,,
砂,⑥サ⑥すな,○シャ,
唆,,○サ,◎そそのかす
差,④サ④さす,,
詐,,○サ,
鎖,,○サ○くさり,
座,⑥ザ,○すわる,
挫,,○ザ,
才,②サイ,,
再,⑤サイ⑤サ⑤ふたたび,,
災,⑤サイ,○わざわい,
妻,⑤サイ⑤つま,,
采,,○サイ,
砕,,○サイ○くだく○くだける,
宰,,○サイ,
栽,,○サイ,
彩,,○サイ,◎いろどる
採,⑤サイ⑤とる,,
済,⑥サイ⑥すむ⑥すます,,
祭,③サイ③まつる③まつり,,
斎,,○サイ,
細,②サイ②ほそい②ほそる②こまか②こまかい,,
菜,④サイ④な,,
最,④サイ④もっとも,,
裁,⑥サイ⑥さばく,○たつ,
債,,○サイ,
催,,○サイ○もよおす,
塞,,○サイ○ソク○ふさぐ○ふさがる,
歳,,○サイ○セイ,
載,,○サイ○のせる○のる,
際,⑤サイ,,◎きわ
埼,④さい,,
在,⑤ザイ⑤ある,,
材,④ザイ,,
剤,,○ザイ,
財,⑤ザイ,○サイ,
罪,⑤ザイ⑤つみ,,
崎,④さき,,
作,②サク②サ②つくる,,
削,,○サク○けずる,
昨,④サク,,
柵,,○サク,
索,,○サク,
策,⑥サク,,
酢,,○サク○す,
搾,,○しぼる,◎サク
錯,,○サク,
咲,,○さく,
冊,⑥サツ,,◎サク
札,④サツ④ふだ,,
刷,④サツ④する,,
刹,,○セツ,◎サツ
拶,,○サツ,
殺,⑤サツ⑤ころす,,◎サイ◎セツ
察,④サツ,,
撮,,○サツ○とる,
擦,,○サツ○する○すれる,
雑,⑤ザツ⑤ゾウ,,
皿,③さら,,
三,①サン①み①みつ①みっつ,,
山,①サン①やま,,
参,④サン④まいる,,
桟,,○サン,
蚕,⑥サン⑥かいこ,,
惨,,○サン,◎ザン◎みじめ
産,④サン④うむ④うまれる,,◎うぶ
傘,,○かさ,◎サン
散,④サン④ちる④ちらす④ちらかす④ちらかる,,
算,②サン,,
酸,⑤サン,,◎すい
賛,⑤サン,,
残,④ザン④のこる④のこす,,
斬,,○ザン○きる,
暫,,○ザン,
士,④シ,,
子,①シ①ス①こ,,
支,⑤シ⑤ささえる,,
止,②シ②とまる②とめる,,
氏,④シ,○うじ,
仕,③シ③つかえる,,◎ジ
史,⑤シ,,
司,④シ,,
四,①シ①よ①よつ①よっつ①よん,,
市,②シ②いち,,
矢,②や,,◎シ
旨,,○シ,◎むね
死,③シ③しぬ,,
糸,①シ①いと,,
至,⑥シ⑥いたる,,
伺,,○うかがう,◎シ
志,⑤シ⑤こころざす⑤こころざし,,
私,⑥シ⑥わたくし⑥わたし,,
使,③シ③つかう,,
刺,,○シ○さす○ささる,
始,③シ③はじめる③はじまる,,
姉,②あね,○シ,
枝,⑤えだ,,◎シ
祉,,○シ,
肢,,○シ,
姿,⑥シ⑥すがた,,
思,②シ②おもう,,
指,③シ③ゆび③さす,,
施,,○シ○ほどこす,◎セ
師,⑤シ,,
恣,,○シ,
紙,②シ②かみ,,
脂,,○シ○あぶら,
視,⑥シ,,
紫,,○シ○むらさき,
詞,⑥シ,,
歯,③シ③は,,
嗣,,○シ,
試,④シ④こころみる,○ためす,
詩,③シ,,
資,⑤シ,,
飼,⑤シ⑤かう,,
誌,⑥シ,,
雌,,○シ○め○めす,
摯,,○シ,
賜,,○たまわる,◎シ
諮,,○シ○はかる,
示,⑤ジ⑤しめす,○シ,
字,①ジ,○あざ,
寺,②ジ②てら,,
次,③ジ③つぐ③つぎ,○シ,
耳,①みみ,○ジ,
自,②ジ②シ②みずから,,
似,⑤にる,○ジ,
児,④ジ,○ニ,
事,③ジ③こと,,◎ズ
侍,,○ジ○さむらい,
治,④ジ④チ④おさめる④おさまる④なおる④なおす,,
持,③ジ③もつ,,
時,②ジ②とき,,
滋,④,○ジ,
慈,,○ジ,◎いつくしむ
辞,④ジ,○やめる,
磁,⑥ジ,,
餌,,○えさ○え,◎ジ
璽,,○ジ,
鹿,④しか④か,,
式,③シキ,,
識,⑤シキ,,
軸,,○ジク,
七,①シチ①なな①ななつ①なの,,
叱,,○シツ○しかる,
失,④シツ④うしなう,,
室,②シツ,○むろ,
疾,,○シツ,
執,,○シツ○シュウ○とる,
湿,,○シツ○しめる○しめす,
嫉,,○シツ,
漆,,○シツ○うるし,
質,⑤シツ,○シチ,◎チ
実,③ジツ③み③みのる,,
芝,,○しば,
写,③シャ③うつす③うつる,,
社,②シャ②やしろ,,
車,①シャ①くるま,,
舎,⑤シャ,,
者,③シャ③もの,,
射,⑥シャ⑥いる,,
捨,⑥シャ⑥すてる,,
赦,,○シャ,
斜,,○シャ○ななめ,
煮,,○にる○にえる○にやす,◎シャ
遮,,○シャ○さえぎる,
謝,⑤シャ,○あやまる,
邪,,○ジャ,
蛇,,○ジャ○ダ○へび,
尺,⑥シャク,,
借,④シャク④かりる,,
酌,,○シャク,◎くむ
釈,,○シャク,
爵,,○シャク,
若,⑥わかい,○ジャク,◎ニャク◎もしくは
弱,②ジャク②よわい②よわる②よわまる②よわめる,,
寂,,○ジャク○さび○さびしい○さびれる,◎セキ
手,①シュ①て,○た,
主,③シュ③ぬし③おも,,◎ス
守,③シュ③ス③まもる,○もり,
朱,,○シュ,
取,③シュ③とる,,
狩,,○シュ○かる○かり,
首,②シュ②くび,,
殊,,○シュ○こと,
珠,,○シュ,
酒,③シュ③さけ③さか,,
腫,,○シュ○はれる○はらす,
種,④シュ④たね,,
趣,,○シュ○おもむき,
寿,,○ジュ○ことぶき,
受,③ジュ③うける③うかる,,
呪,,○ジュ○のろう,
授,⑤ジュ,○さずける○さずかる,
需,,○ジュ,
儒,,○ジュ,
樹,⑥ジュ,,
収,⑥シュウ⑥おさめる⑥おさまる,,
囚,,○シュウ,
州,③シュウ,○す,
舟,,○シュウ○ふね○ふな,
秀,,○シュウ,◎ひいでる
周,④シュウ④まわり,,
宗,⑥シュウ,○ソウ,
拾,③ひろう,○シュウ○ジュウ,
秋,②シュウ②あき,,
臭,,○シュウ○くさい○におう,
修,⑤シュウ⑤おさめる⑤おさまる,○シュ,
袖,,○そで,◎シュウ
終,③シュウ③おわる③おえる,,
羞,,○シュウ,
習,③シュウ③ならう,,
週,②シュウ,,
就,⑥シュウ,○つく○つける,◎ジュ
衆,⑥シュウ,,◎シュ
集,③シュウ③あつまる③あつめる,○つどう,
愁,,○シュウ,◎うれえる◎うれい
酬,,○シュウ,
醜,,○シュウ○みにくい,
蹴,,○シュウ○ける,
襲,,○シュウ○おそう,
十,①ジュウ①ジッ①とお①と,,
汁,,○ジュウ○しる,
充,,○ジュウ,◎あてる
住,③ジュウ③すむ③すまう,,
柔,,○ジュウ○ニュウ○やわらか○やわらかい,
重,③ジュウ③チョウ③おもい③かさねる③かさなる③え,,
従,⑥ジュウ⑥したがう⑥したがえる,,◎ショウ◎ジュ
渋,,○ジュウ○しぶ○しぶい○しぶる,
銃,,○ジュウ,
獣,,○ジュウ○けもの,
縦,⑥ジュウ⑥たて,,
叔,,○シュク,
祝,④シュク④いわう,,◎シュウ
宿,③シュク③やど③やどる③やどす,,
淑,,○シュク,
粛,,○シュク,
縮,⑥シュク⑥ちぢむ⑥ちぢまる⑥ちぢめる⑥ちぢれる⑥ちぢらす,,
塾,,○ジュク,
熟,⑥ジュク,○うれる,
出,①シュツ①でる①だす,○スイ,
述,⑤ジュツ⑤のべる,,
術,⑤ジュツ,,
俊,,○シュン,
春,②シュン②はる,,
瞬,,○シュン,◎またたく
旬,,○ジュン○シュン,
巡,,○ジュン○めぐる,
盾,,○ジュン○たて,
准,,○ジュン,
殉,,○ジュン,
純,⑥ジュン,,
循,,○ジュン,
順,④ジュン,,
準,⑤ジュン,,
潤,,○ジュン○うるおう○うるおす○うるむ,
遵,,○ジュン,
処,⑥ショ,,
初,④ショ④はじめ④はじめて④はつ,○そめる,◎うい
所,③ショ③ところ,,
書,②ショ②かく,,
庶,,○ショ,
